title,year,runtime_minutes,genres,average_rating,num_votes,log_votes,rating_pct,votes_pct,love_score,cult_factor,decade,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_News,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_War,genre_Western,rating_cat,votes_cat,runtime_cat
The Terminator,1984,107.0,"Action,Adventure,Sci-Fi",8.1,1003330,13.81883602247285,0.9710987996306556,0.9950754078177901,0.9663165340738411,-0.02397660818713454,1980,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Top,Massive,Long
Avengers: Age of Ultron,2015,141.0,"Action,Adventure,Sci-Fi",7.3,999293,13.814804308628913,0.8087719298245614,0.9950138504155125,0.8047392720027214,-0.18624192059095113,2010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Top,Massive,Epic
Snatch,2000,102.0,"Comedy,Crime",8.2,976103,13.791324417095444,0.9799630655586334,0.9949522930132348,0.9750164991458413,-0.014989227454601406,2000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Standard
Requiem for a Dream,2000,102.0,Drama,8.3,972313,13.787434076542178,0.9863650353955064,0.9948907356109572,0.9813254356455632,-0.008525700215450849,2000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Standard
Captain America: The Winter Soldier,2014,136.0,"Action,Adventure,Sci-Fi",7.7,970494,13.785561529594418,0.9183441058787319,0.9948291782086796,0.9135955121641235,-0.07648507232994761,2010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Top,Massive,Epic
The Grand Budapest Hotel,2014,99.0,"Comedy,Drama",8.1,969327,13.784358326889027,0.9710987996306556,0.994767620806402,0.9660176424765402,-0.023668821175746424,2010,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Standard
Toy Story 3,2010,103.0,"Adventure,Animation,Comedy",8.3,968382,13.783382949162505,0.9863650353955064,0.9947060634041244,0.9811432814377339,-0.008341028008618023,2010,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Standard
Spider-Man,2002,121.0,"Action,Adventure,Sci-Fi",7.4,966790,13.781737618707316,0.8412126808248692,0.9946445060018467,0.8367075713615412,-0.1534318251769775,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Top,Massive,Epic
Captain America: The First Avenger,2011,124.0,"Action,Adventure,Sci-Fi",6.9,966051,13.780972941973603,0.6645737149892275,0.9945829485995691,0.6609736850157555,-0.3300092336103416,2010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,High,Massive,Epic
Spirited Away,2001,124.0,"Adventure,Animation,Family",8.6,965037,13.779922757784162,0.9958140966451215,0.9945213911972914,0.9903584207693803,0.0012927054478301114,2000,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Epic
